comunidad;Dosis entregadas Pfizer (1);Dosis entregadas Moderna (1);Dosis entregadas AstraZeneca (1);Total Dosis entregadas (1);Dosis administradas (2);% sobre entregadas;Nº Personas con al menos 1 dosis;Nº Personas vacunadas(pauta completada);Fecha de la última vacuna registrada (2)
Andalucía;1.468.440;219.200;589.600;2.277.240;2.199.243;96,6%;1.607.070;592.173;18/04/2021
Aragón;291.645;45.800;92.600;430.045;391.560;91,1%;280.029;111.531;17/04/2021
Asturias ;280.535;42.200;71.000;393.735;371.649;94,4%;257.843;113.806;18/04/2021
Baleares;162.990;24.300;81.400;268.690;259.921;96,7%;196.196;63.725;18/04/2021
Canarias;319.380;47.800;151.600;518.780;480.524;92,6%;359.932;120.592;18/04/2021
Cantabria;132.945;19.900;40.500;193.345;166.629;86,2%;117.799;48.830;18/04/2021
Castilla y Leon ;647.895;100.800;166.900;915.595;830.796;90,7%;579.359;251.437;18/04/2021
Castilla La Mancha;412.875;63.800;142.400;619.075;562.432;90,9%;395.777;166.655;18/04/2021
Cataluña;1.413.980;221.100;541.900;2.176.980;2.070.003;95,1%;1.573.060;496.943;18/04/2021
C. Valenciana;836.740;131.600;352.300;1.320.640;1.270.968;96,2%;962.284;308.684;18/04/2021
Extremadura;244.025;36.200;74.000;354.225;351.936;99,4%;251.076;100.860;17/04/2021
Galicia;637.765;98.800;188.300;924.865;865.840;93,6%;649.603;216.237;18/04/2021
La Rioja;69.095;10.200;22.200;101.495;96.354;94,9%;70.153;26.201;17/04/2021
Madrid;1.154.715;179.300;472.500;1.806.515;1.679.161;93,0%;1.226.586;452.575;18/04/2021
Murcia ;260.465;37.700;105.200;403.365;334.549;82,9%;232.472;102.077;18/04/2021
Navarra;130.605;20.100;46.000;196.705;189.103;96,1%;133.756;55.347;18/04/2021
País Vasco;454.950;70.900;154.700;680.550;628.743;92,4%;458.169;170.574;18/04/2021
Ceuta;10.170;1.600;6.100;17.870;17.862;100,0%;14.070;3.792;16/04/2021
Melilla;10.170;1.500;6.100;17.770;16.215;91,2%;11.921;4.294;17/04/2021
Totales;8.958.885;1.372.800;3.371.400;13.703.085;12.853.599;93,8%;9.441.685;3.411.914;18/04/2021
