Altura;Diametro;Volumen
21,3;0,21;0,292
19,8;0,22;0,292
19,2;0,22;0,289
21,9;0,27;0,464
24,7;0,27;0,532
25,3;0,27;0,558
20,1;0,28;0,442
22,9;0,28;0,515
24,4;0,28;0,64
22,9;0,28;0,564
24,1;0,29;0,685
23,2;0,29;0,595
23,2;0,29;0,606
21;0,3;0,603
22,9;0,3;0,541
22,6;0,33;0,629
25,9;0,33;0,957
26,2;0,34;0,776
21,6;0,35;0,728
19,5;0,35;0,705
23,8;0,36;0,977
24,4;0,36;0,898
22,6;0,37;1,028
21,9;0,41;1,085
23,5;0,41;1,206
24,7;0,44;1,569
25;0,44;1,577
24,4;0,45;1,651
24,4;0,46;1,458
24,4;0,46;1,444
26,5;0,52;2,18
