Cluster;Ch;Qtz;Cal;Mica;Fd;Kaol;Amphibole;Beach
18479A;15,4;23,5;11,3;22,2;11,3;10,8;5,5;K
19583A;11,5;28,1;10,2;16,6;14,1;10,8;8,7;K
18412A;27,2;36,3;5,4;8,8;10,8;5,4;6,1;K
18722A;6,3;36,3;21,7;10,2;6,2;12,4;7;T
19625A;4,9;68,8;7,3;6,9;4,2;6,3;1,6;K
18600A;18,1;42,9;14,9;14,7;3;3;3,4;T
18428A;16,3;33,1;4;13,2;8,1;16,1;9,1;T
260R;2,7;37;28,8;21,1;2,5;7,6;0,2;T
273R;1,8;36,6;40,1;15,9;1,6;3,6;0,4;T
242R;7,6;42,1;21,2;16,4;3,7;6,2;2,8;T
250R;5,6;50,8;26,4;4,5;2,8;8,3;1,6;T
154C;10,9;4,5;0,8;62,9;0,2;20,7;0;T
80C;6;29,4;6,9;42,9;0,5;14;0,3;T
50C;5,6;21,9;9,9;51,5;0,5;10,5;0;T
87VA;21,7;6,2;0;66,5;0,2;5,4;0;T
77CR;3,5;58;10,1;15,2;1,6;11,1;0,4;T
278H1;6,1;39,1;0;36,5;3,6;13,6;1,1;PTC6
144H10;11,5;61,2;0,5;10,2;4,1;11,4;1,2;DFN5
234H11;12,5;65,6;0,3;6,4;8,4;6,2;0,6;BC6
187H12;12,5;40,9;0;18;7,4;19,4;1,7;CB5
25H13;45,2;15,5;0,3;15,2;2,2;19,5;2,2;DFN5
18H14;8;14,4;0,1;57;1,1;18,6;0,9;VSP5
126H15;21,1;9,5;1;28,1;7,6;28,5;4,3;OF5
3H16;15,4;37,9;1,9;21,8;7,6;13,3;2,1;DFN5
131H2;28,5;24,9;2;19,9;8,1;12,1;4,5;SC5
83H3;13,7;9,6;0,1;53,2;0,8;22,3;0,3;MCB5
298H4;4;66,4;3,5;13;3;7,9;2,2;VSPMC6
34H6;15,5;30;0,3;29,1;3;21,8;0,3;DFN5
146H5;16,5;1,4;0;66,5;0,1;15,2;0,3;CVSP6
62H7;19,1;12,9;0;36,1;6,3;22;3,5;COB5
160H8;18,4;14,8;0;54,3;2,5;8;1,9;DFN5
12H9;53,7;4;0,5;34,9;1;3,9;2,2;VSP5















