Line;Peak_1;Peak_2;Peak_3;Peak_4;Peak_5;Peak_6;Peak_7;Peak_8;Peak_9;Peak_10;Peak_11;Peak_12;Peak_13;Peak_14;Peak_15;Peak_16;Peak_17;Peak_18;Peak_19;Peak_20;Peak_21;Peak_22;Peak_23;Peak_24;Peak_25;Peak_26;Peak_27;Peak_28
1;0.0068275;0.0265175;0.0020583;0.0194388;0.0017576;0.0135311;0.0013603;0.0081697;0.0563188;0;0.021373;0;0;0.0032034;0.0138588;0;0.002965;0.0010669;0.5022069;0.0053422;0.0011932;0;0.0984388;0.0196361;0.0366645;0.0892508;0.0109374;0.0151091
1;0.0016217;0.0120112;0.0007182;0.0040318;0.0267475;0.2832383;0.0027283;0.0078724;0.0164942;0.0275485;0.0053771;0.0049147;0.0157468;0.0017988;0.0044101;0.0028143;0.3065004;0.0089881;0.1338725;0.002399;0.0026262;0.0123832;0.0030052;0.0085411;0.0041134;0.0301987;0.0675505;0.0017475
1;0.0009339;0.007077;0.0009929;0.0016678;0.0044476;0.5409214;0.0004808;0.0032861;0.0076806;0.0050522;0.0040603;0.0255564;0.0181996;0.0001825;0.0032971;0.0123216;0.1177387;0.0026924;0.1131891;0.0123515;0.0274159;0.0068903;0.0022953;0.0059857;0.0047457;0.0209853;0.0351788;0.002289
1;0.0033299;0.0112752;0.0044927;0.0035638;0.0037551;0.5685132;0.0010946;0.0037414;0.0115241;0.0063566;0.0082407;0.0265253;0.0099598;0.0005429;0.0059354;0.0148302;0.0664044;0.0016134;0.1093204;0.007829;0.0240514;0.0016322;0.0021365;0.0100147;0.0061263;0.0257361;0.0413367;0.0026724
1;0.0071457;0.0535464;0.0031159;0.0215373;0.0104797;0.0940064;0.0036386;0.0148866;0.0484395;0.0517797;0.0272543;0.0036022;0.000866;0.0019251;0.0312784;0.002758;0;0.0024519;0.3418926;0.0031395;0.0020648;0;0.0109874;0.0266515;0.0120752;0.0747604;0.0946976;0.0052802
1;0.0027239;0.0029227;0.003077;0.0021408;0.00717;0.4487325;0.0006344;0.0043404;0.0026825;0.0057035;0;0.0319948;0.0189672;0.000609;0.0012049;0.0123137;0.1381363;0.0034351;0.0321028;0.0087942;0.0169304;0.0082942;0.0023125;0.0096475;0.0043878;0.0198041;0.1961469;0.001611
1;0.0038917;0.0121074;0.0087598;0.0060201;0.0070816;0.6810409;0.0019437;0.0049399;0.0211154;0;0.012791;0.03306;0.0150859;0.0009386;0.0110623;0.0173114;0.0035242;0;0.0102522;0;0.0302455;0.0028951;0;0.012098;0.0110329;0.0266631;0.0407488;0.0006255
1;0.012921;0.0252814;0.003341;0.0211975;0.0023356;0.0171518;0.0033743;0.0088272;0.0738227;0;0.0621173;0;0;0.0037135;0.0196411;0;0.0134611;0.509914;0;0.0054196;0.0017714;0;0.0761308;0.0155182;0.0282337;0.0139309;0.0281658;0.010847
1;0.0058899;0.0344072;0.0016158;0;0.0053139;0.0485894;0.0020408;0.0103065;0.0778303;0;0.0201523;0.0006659;0.0012455;0.0030562;0.0163654;0;0.004495;0.550938;0;0.0041162;0.0010738;0;0.0131778;0.0239888;0.0131765;0.0825827;0.0160783;0.0053522
1;0.0054937;0.0341654;0.0027724;0.0199952;0.0068916;0.0373005;0.0019972;0.0214898;0.0655517;0.0126318;0.0124757;0.0005308;0.000434;0.0035012;0.0123282;0;0.0040844;0.0012796;0.5224009;0.0048045;0.001524;0;0.0072191;0.0308077;0.0140673;0.0902965;0.0162744;0.0065934
