prov;x1;x2;x3;x4;x5;x6;x7;x8;x9
"Almeria";618957,00;295452,00;522128,00;167067,00;58288,00;280035,00;129219,00;307967,00;107334,00
"Cadiz";683940,00;203619,00;426690,00;124162,00;60657,00;285888,00;127792,00;313238,00;83523,00
"Cordoba";590770,00;265604,00;487143,00;113386,00;37131,00;237320,00;116764,00;247536,00;79924,00
"Granada";547353,00;238822,00;458338,00;119540,00;40340,00;236694,00;103901,00;272308,00;72813,00
"Huelva";649225,00;245722,00;570631,00;99250,00;61953,00;253286,00;123244,00;238880,00;83070,00
"Jaen";556210,00;183295,00;332662,00;86364,00;37160,00;136992,00;57607,00;189811,00;57311,00
"Malaga";617778,00;201348,00;508252,00;121010,00;63518,00;256973,00;128336,00;323632,00;93971,00
"Sevilla";621570,00;208156,00;549399,00;137408,00;45101,00;298000,00;118269,00;308524,00;84514,00
"Huesca";577107,00;249310,00;412907,00;107976,00;39602,00;335334,00;90547,00;227266,00;92103,00
"Teruel";545238,00;199788,00;343919,00;122154,00;42281,00;224286,00;90291,00;237747,00;77938,00
"Zaragoza";556737,00;266468,00;496989,00;132517,00;54106,00;235188,00;118931,00;282369,00;79718,00
"Asturias";624941,00;280273,00;530828,00;132066,00;57679,00;340013,00;149265,00;315478,00;120856,00
"Baleares";564220,00;226816,00;602397,00;144005,00;86803,00;358290,00;150551,00;351555,00;131802,00
"LasPalmas";632640,00;201704,00;522846,00;153775,00;84148,00;327988,00;173031,00;305628,00;114627,00
"Tenerife";523476,00;171072,00;467424,00;118857,00;65247,00;303598,00;142620,00;283563,00;80959,00
"Cantabria";604083,00;287943,00;654929,00;119269,00;63320,00;302277,00;116752,00;276663,00;105421,00
"Avila";543595,00;242609,00;388063,00;92808,00;47035,00;254563,00;74522,00;250853,00;82061,00
"Burgos";602307,00;255567,00;600121,00;162166,00;51308,00;280023,00;132161,00;301813,00;111224,00
"Leon";623047,00;245240,00;500414,00;136030,00;41667,00;333066,00;119657,00;267506,00;146434,00
"Palencia";589710,00;206048,00;449113,00;113714,00;34787,00;248620,00;115825,00;294068,00;109264,00
"Salamanca";488784,00;167814,00;400049,00;78217,00;24476,00;195065,00;69846,00;193056,00;54442,00
"Segovia";528040,00;184840,00;455368,00;103446,00;46337,00;217156,00;91436,00;259705,00;116303,00
"Soria";679722,00;232673,00;503695,00;129768,00;55000,00;272249,00;117587,00;300014,00;120803,00
"Valladolid";567361,00;223201,00;566433,00;140573,00;46111,00;254216,00;149041,00;327774,00;98430,00
"Zamora";544527,00;178835,00;402354,00;99953,00;32143,00;227163,00;70283,00;231577,00;125332,00
"Albacete";535939,00;199559,00;425598,00;137799,00;55967,00;232209,00;104866,00;291708,00;91735,00
"CiudadReal";545912,00;227255,00;487651,00;125740,00;44001,00;230820,00;88650,00;230213,00;90886,00
"Cuenca";506814,00;194156,00;420488,00;109533,00;50961,00;220678,00;78673,00;270038,00;103288,00
"Guadalajara";546909,00;179824,00;477446,00;115585,00;40129,00;299174,00;94923,00;287703,00;87720,00
"Toleda";583325,00;255527,00;411896,00;130747,00;65345,00;282127,00;105872,00;241749,00;122189,00
"Barcelona";702920,00;257429,00;702315,00;168696,00;97595,00;365255,00;239187,00;379319,00;99929,00
"Gerona";684186,00;285047,00;566149,00;149308,00;77553,00;259839,00;191400,00;329089,00;134786,00
"Lerida";696542,00;283134,00;508906,00;146773,00;90828,00;402073,00;180652,00;353124,00;152924,00
"Tarragona";586122,00;283112,00;557653,00;150464,00;62853,00;331848,00;185713,00;381485,00;114876,00
"Alicante";579355,00;205685,00;490235,00;134254,00;68141,00;297939,00;117710,00;316675,00;111756,00
"Castellon";496559,00;201606,00;411972,00;107739,00;42939,00;212051,00;84610,00;241795,00;77370,00
"Valencia";539570,00;228072,00;464127,00;138419,00;62471,00;285948,00;134751,00;384939,00;96564,00
"Badajoz";430442,00;204529,00;332948,00;91831,00;41112,00;187500,00;77481,00;203808,00;61478,00
"Caceres";569808,00;222756,00;403547,00;119078,00;47904,00;248571,00;100282,00;285880,00;89736,00
"LaCoruna";692445,00;249121,00;506616,00;141805,00;56114,00;277401,00;142246,00;289111,00;108489,00
"Lugo";719078,00;286277,00;414893,00;142629,00;62779,00;301867,00;101889,00;216693,00;119398,00
"Orense";598669,00;182378,00;370866,00;106873,00;31779,00;221028,00;114728,00;205921,00;90184,00
"Pontevedra";736441,00;263479,00;468984,00;136204,00;50815,00;344289,00;129685,00;309349,00;100255,00
"Madrid";670577,00;253928,00;864553,00;148014,00;86601,00;393664,00;232387,00;440275,00;130290,00
"Murcia";610718,00;210169,00;470859,00;128627,00;46866,00;318508,00;102978,00;311262,00;114457,00
"Navarra";669082,00;324877,00;704572,00;221954,00;81180,00;415313,00;185493,00;411027,00;156493,00
"Alava";664450,00;234132,00;631137,00;189169,00;58406,00;313033,00;164730,00;355280,00;98942,00
"Guipuzcoa";643141,00;254653,00;668435,00;151454,00;61985,00;302491,00;169527,00;405259,00;109995,00
"Vizcaya";635929,00;283160,00;677817,00;156612,00;67899,00;337253,00;176222,00;423122,00;132572,00
"LaRioja";634839,00;209753,00;542656,00;127615,00;54684,00;269843,00;126717,00;322845,00;121844,00
"Ceuta-Melilla";678733,00;192344,00;362317,00;81673,00;27191,00;138705,00;81979,00;226279,00;65135,00
