"PAIS","TASANAT","TASAMORT","MORTINF","ESPHOM","ESPMUJ","PNB"
"albania",24.7,5.7,30.8,69.6,75.5,600
"bulgaria",12.5,11.9,14.4,68.3,74.7,2250
"checos",13.4,11.7,11.3,71.8,77.7,2980
"hungria",11.6,13.4,14.8,65.4,73.8,2780
"polonia",14.3,10.2,16,67.2,75.7,1690
"rumania",13.6,10.7,26.9,66.5,72.4,1640
"urss",17.7,10,23,64.6,74,2242
"bielorusia",15.2,9.5,13.1,66.4,75.9,1880
"ucrania",13.4,11.6,13,66.4,74.8,1320
"argentina",20.7,8.4,25.7,65.5,72.7,2370
"bolivia",46.6,18,111,51,55.4,630
"brasil",28.6,7.9,63,62.3,67.6,2680
"chile",23.4,5.8,17.1,68.1,75.1,1940
"colombia",27.4,6.1,40,63.4,69.2,1260
"ecuador",32.9,7.4,63,63.4,67.6,980
"guayana",28.3,7.3,56,60.4,66.1,330
"paraguay",34.8,6.6,42,64.4,68.5,1110
"peru",32.9,8.3,109.9,56.8,66.5,1160
"uruguay",18,9.6,21.9,68.4,74.9,2560
"venezuela",27.5,4.4,23.3,66.7,72.8,2560
"mexico",29,23.2,43,62.1,66,2490
"belgica",12,10.6,7.9,70,76.8,15540
"finalandia",13.2,10.1,5.8,70.7,78.7,26040
"dinamarca",12.4,11.9,7.5,71.8,77.7,22080
"francia",13.6,9.4,7.4,72.3,80.5,19490
"alemania",11.4,11.2,7.4,71.8,78.4,22320
"grecia",10.1,9.2,11,65.4,74,5990
"irlanda",15.1,9.1,7.5,71,76.7,9550
"italia",9.7,9.1,8.8,72,78.6,16830
"paisesbajos",13.2,8.6,7.1,73.3,79.9,17320
"noruega",14.3,10.7,7.8,67.2,75.7,23120
"portuga",11.9,9.5,13.1,66.5,72.4,7600
"espana",10.7,8.2,8.1,72.5,78.6,11020
"suecia",14.5,11.1,5.6,74.2,80,23660
"suiza",12.5,9.5,7.1,73.9,80,34064
"reinounido",13.6,11.5,8.4,72.2,77.9,16100
"austria",14.9,7.4,8,73.3,79.6,17000
"japon",9.9,6.7,4.5,75.9,81.8,25430
"canada",14.5,7.3,7.2,73,79.8,20470
"eeuu",16.7,8.1,9.1,71.5,78.3,21790
"afganistan",40.4,18.7,181.6,41,42,168
"bahrein",28.4,3.8,16,66.8,69.4,6340
"iran",42.5,11.5,108.1,55.8,55,2490
"irak",42.6,7.8,69,63,64.8,3020
"israel",22.3,6.3,9.7,73.9,77.4,10920
"jordania",38.9,6.4,44,64.2,67.8,1240
"kuwait",26.8,2.2,15.6,71.2,75.4,16150
"oman",45.6,7.8,40,62.2,65.8,5220
"arabiasaudi",42.1,7.6,71,61.7,65.2,7050
"turqui",29.2,8.4,76,62.5,65.8,1630
"emiratosarabes",22.8,3.8,26,68.6,72.9,19860
"bangladesh",42.2,15.5,119,56.9,56,210
"china",21.2,6.7,32,68,70.9,380
"hongkong",11.7,4.9,6.1,74.3,80.1,14210
"india",30.5,10.2,91,52.5,52.1,350
"indonesia",28.6,9.4,75,58.5,62,570
"malasia",31.6,5.6,24,67.5,71.6,2320
"mongolia",36.1,8.8,68,60,62.5,110
"nepal",39.6,14.8,128,50.9,48.1,170
"pakistan",30.3,8.1,107.7,59,59.2,380
"filipinas",33.2,7.7,45,62.5,66.1,730
"singapur",17.8,5.2,7.5,68.7,74,11160
"srklanka",21.3,6.2,19.4,67.8,71.7,470
"tailandia",22.3,7.7,28,63.8,68.9,1420
"argelia",35.5,8.3,74,61.6,63.3,2060
"angola",47.2,20.2,137,42.9,46.1,610
"botswana",48.5,11.6,67,52.3,59.7,2040
"congo",46.1,14.6,73,50.1,55.3,1010
"egipto",38.8,9.5,49.4,57.8,60.3,600
"etiopa",48.6,20.7,137,42.4,45.6,120
"gabon",39.4,16.8,103,49.9,53.2,390
"gambia",47.4,21.4,143,41.4,44.6,260
"ghana",44.4,13.1,90,52.2,55.8,390
"kenya",47,11.3,72,56.5,60.5,370
"libia",44,9.4,82,59.1,62.6,5310
"malawi",48.3,25,130,38.1,41.2,200
"marruecos",35.5,9.8,82,59.1,62.5,960
"mozambique",45,18.5,141,44.9,48.1,80
"namibia",44,12.1,135,55,57.5,1030
"nigeria",48.5,15.6,105,48.8,52.2,360
"sierraleona",48.2,23.4,154,39.4,42.6,240
"somalia",50.1,20.2,132,43.4,46.6,120
"surafrica",32.1,9.9,72,57.5,63.5,2530
"sudan",44.6,15.8,108,48.6,51,480
"swaziland",46.8,12.5,118,42.9,49.5,810
"tunez",31.1,7.3,52,64.9,66.4,1440
"uganda",52.2,15.6,103,49.9,52.7,220
"tanzania",50.5,14,106,51.3,54.7,110
"zaire",45.6,14.2,83,50.3,53.7,220
"zambia",51.1,13.7,80,50.4,52.5,420
"zimbabue",41.7,10.3,66,56.5,60.1,640
