"ARENA","SEDIMENT","ARCILLA","M_ORGANI","PH"
"1",77.3,13,9.7,1.5,6.4
"2",82.5,10,7.5,1.5,6.5
"3",66.9,20,12.5,2.3,7
"4",47.2,33.8,19,2.8,5.8
"5",65.3,20.5,14.2,1.9,6.9
"6",83.3,10,6.7,2.2,7
"7",81.6,12.7,5.7,2.9,6.7
"8",47.8,36.5,15.7,2.3,7.2
"9",48.6,37.1,14.3,2.1,7.2
"10",61.6,25.5,12.9,1.9,7.3
"11",58.6,26.5,14.9,2.4,6.7
"12",69.3,22.3,8.4,4,7
"13",61.8,30.8,7.4,2.7,6.4
"14",67.7,25.3,7,4.8,7.3
"15",57.2,31.2,11.6,2.4,6.5
"16",67.2,22.7,10.1,3.3,6.2
"17",59.2,31.2,9.6,2.4,6
"18",80.2,13.2,6.6,2,5.8
"19",82.2,11.1,6.7,2.2,7.2
"20",69.7,20.7,9.6,3.1,5.9
