comunidad,Dosis entregadas Pfizer (1),Dosis entregadas Moderna (1),Dosis entregadas AstraZeneca (1),Total Dosis entregadas (1),Dosis administradas (2),% sobre entregadas,Nº Personas vacunadas(pauta completada),Fecha de la última vacuna registrada (2)
Andalucía,140295,0,0,140295,25809,0.1839623650165722,0,2021-01-03
Aragón,23715,0,0,23715,2004,0.0845034788108791,0,2021-01-02
Asturias,23720,0,0,23720,9380,0.3954468802698145,0,2021-01-03
Baleares,8940,0,0,8940,153,0.0171140939597315,0,2020-12-28
Canarias,20835,0,0,20835,4846,0.5245020398368131,0,2021-01-03
Cantabria,11850,0,0,11850,304,0.0256540084388185,0,2020-12-30
Castilla y Leon,51390,0,0,51390,10928,0.0942985016540182,0,2021-01-03
Castilla La Mancha,35550,0,0,35550,1983,0.0557805907172995,0,2021-01-03
Cataluña,120545,0,0,120545,8150,0.0676096063710647,0,2021-01-03
C. Valenciana,61225,0,0,61225,3252,0.0531155573703552,0,2021-01-03
Extremadura,21725,0,0,21725,686,0.0315765247410817,0,2021-01-03
Galicia,37555,0,0,37555,9124,0.2429503395020636,0,2021-01-02
La Rioja,5915,0,0,5915,324,0.0547759932375317,0,2020-12-31
Madrid,89040,0,0,89040,2883,0.0323787061994609,0,2021-01-03
Murcia,25685,0,0,25685,442,0.0172084874440334,0,2021-01-04
Navarra,6975,0,0,6975,1583,0.2269534050179211,0,2021-01-04
País Vasco,31605,0,0,31605,396,0.0125296630280018,0,2021-01-02
Ceuta,1005,0,0,1005,380,0.3781094527363184,0,2020-12-31
Melilla,1005,0,0,1005,207,0.2059701492537313,0,2020-12-30
Totales,718575,0,0,718575,82834,0.1152753713947743,0,2021-01-04
Andalucía,140295,0,0,140295,53934,0.3844328023094194,0,2021-01-06
Aragón,23715,0,0,23715,6186,0.2608475648323846,0,2021-01-06
Asturias,23720,0,0,23720,14406,0.6073355817875211,0,2021-01-06
Baleares,12840,0,0,12840,3190,0.2484423676012461,0,2021-01-05
Canarias,27660,0,0,27660,7330,0.2650036153289949,0,2021-01-06
Cantabria,11850,0,0,11850,1564,0.1319831223628692,0,2021-01-07
Castilla y Leon,51390,0,0,51390,22103,0.4301031329052345,0,2021-01-06
Castilla La Mancha,35550,0,0,35550,7666,0.2156399437412095,0,2021-01-06
Cataluña,120545,0,0,120545,24515,0.203368036832718,0,2021-01-06
C. Valenciana,61225,0,0,61225,11677,0.1907227439771335,0,2021-01-07
Extremadura,21725,0,0,21725,3309,0.1523130034522439,0,2021-01-05
Galicia,37555,0,0,37555,20265,0.5396085740913327,0,2021-01-07
La Rioja,5915,0,0,5915,858,0.145054945054945,0,2021-01-06
Madrid,98790,0,0,98790,11337,0.1147585788035226,0,2021-01-07
Murcia,25685,0,0,25685,7287,0.2837064434494841,0,2021-01-07
Navarra,11850,0,0,11850,2960,0.249789029535865,0,2021-01-06
País Vasco,31605,0,0,31605,7734,0.2447081158044613,0,2021-01-06
Ceuta,1005,0,0,1005,576,0.573134328358209,0,2021-01-05
Melilla,1005,0,0,1005,426,0.4238805970149253,0,2021-01-05
Totales,743925,0,0,743925,207323,0.2786880397889572,0,2021-01-07
Andalucía,140295,0,0,140295,69445,0.4949926939662853,0,2021-01-07
Aragón,23715,0,0,23715,9944,0.4193126713050811,0,2021-01-08
Asturias,23720,0,0,23720,17843,0.7522344013490725,0,2021-01-08
Baleares,12840,0,0,12840,4257,0.3315420560747663,0,2021-01-07
Canarias,27660,0,0,27660,9572,0.346059291395517,0,2021-01-08
Cantabria,11850,0,0,11850,2334,0.1969620253164557,0,2021-01-08
Castilla y Leon,51390,0,0,51390,28325,0.551177271842771,0,2021-01-07
Castilla La Mancha,35550,0,0,35550,12380,0.3482419127988748,0,2021-01-07
Cataluña,120545,0,0,120545,38826,0.3220871873574183,0,2021-01-07
C. Valenciana,61225,0,0,61225,15965,0.2607594936708861,0,2021-01-08
Extremadura,21725,0,0,21725,4727,0.2175834292289988,0,2021-01-07
Galicia,37555,0,0,37555,24750,0.6590334176541073,0,2021-01-08
La Rioja,5915,0,0,5915,1674,0.2830092983939137,0,2021-01-08
Madrid,98790,0,0,98790,14152,0.1432533657252758,0,2021-01-08
Murcia,25685,0,0,25685,8958,0.3487638699630134,0,2021-01-08
Navarra,11850,0,0,11850,3703,0.3124894514767932,0,2021-01-07
País Vasco,31605,0,0,31605,9811,0.3104255655750672,0,2021-01-07
Ceuta,1005,0,0,1005,637,0.6338308457711442,0,2021-01-07
Melilla,1005,0,0,1005,673,0.6696517412935323,0,2021-01-08
Totales,743925,0,0,743925,277976,0.373661323386094,0,2021-01-07
Andalucía,140295,0,0,140295,94879,0.6762821198189529,0,2021-01-11
Aragón,23715,0,0,23715,11983,0.505292009276829,0,2021-01-11
Asturias,23720,0,0,23720,22428,0.945531197301855,0,2021-01-12
Baleares,12840,0,0,12840,4835,0.3765576323987539,0,2021-01-11
Canarias,27660,0,0,27660,15328,0.5541576283441794,0,2021-01-12
Cantabria,11850,0,0,11850,9527,0.8039662447257384,0,2021-01-12
Castilla y Leon,51390,0,0,51390,41340,0.804436660828955,0,2021-01-11
Castilla La Mancha,35550,0,0,35550,23342,0.6565963431786217,0,2021-01-12
Cataluña,120545,0,0,120545,82785,0.6867559832427724,0,2021-01-10
C. Valenciana,61225,0,0,61225,57223,0.9346345447121274,0,2021-01-12
Extremadura,21725,0,0,21725,11346,0.5222554660529344,0,2021-01-11
Galicia,37555,0,0,37555,33346,0.88792437757955,0,2021-01-12
La Rioja,5915,0,0,5915,3826,0.6468300929839391,0,2021-01-11
Madrid,98790,0,0,98790,35949,0.3638931065897358,0,2021-01-12
Murcia,25685,0,0,25685,16191,0.6303679190188826,0,2021-01-12
Navarra,11850,0,0,11850,6557,0.5533333333333333,0,2021-01-11
País Vasco,31605,0,0,31605,15393,0.4870431893687708,0,2021-01-11
Ceuta,1005,0,0,1005,758,0.7542288557213931,0,2021-01-11
Melilla,1005,0,0,1005,1005,1.0,0,2021-01-11
Totales,743925,0,0,743925,488041,0.6560352186040259,0,2021-01-12
Andalucía,209520,6800,0,216320,123459,0.570723927514793,0,2021-01-13
